gender,age,f-edu,m-edu,income,event,duration,p1,p2,p3,p4,p5,s1,s2,s3,s4,s5,c1,c2,c3,c4,c5,e1,e2,e3,e4,e5
Male,21,High School,Elementary,"Less than  9,520",0,40,5,5,5,5,5,5,3,4,5,3,4,4,4,4,4,3,3,2,3,3
Female,21,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5
Female,22,College,High School,"Less than  9,520",0,40,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Female,19,College,College," 9,520 to  21,194",0,40,4,4,5,3,3,5,4,5,5,3,3,4,4,3,4,4,5,4,5,4
Male,21,High School,Elementary,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3
Female,19,High School,High School," 9,520 to  21,194",0,40,3,4,3,4,3,5,4,4,3,3,3,3,2,4,5,4,5,3,3,4
Female,23,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,3,3
Female,19,College,High School," 9,520 to  21,194",0,40,4,5,5,5,4,5,5,4,5,3,5,4,4,5,4,5,5,4,5,5
Female,19,PHd,Masters," 219,140 and up",0,40,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,19,College,High School," 9,520 to  21,194",0,40,3,5,5,5,5,5,3,1,3,2,3,3,3,3,3,3,4,4,4,3
Male,20,High School,High School,"Less than  9,520",0,40,4,5,5,5,4,3,4,3,3,4,4,4,4,4,5,3,1,2,2,1
Female,22,High School,College," 9,520 to  21,194",0,40,3,5,3,4,3,5,5,5,5,3,4,4,4,4,4,3,3,2,3,4
Female,20,College,High School,"Less than  9,520",0,40,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,2,3,3
Male,20,High School,College," 9,520 to  21,194",0,40,4,4,2,3,3,4,5,5,5,4,2,3,4,3,3,3,2,2,3,3
Male,22,Elementary,No formal education," 21,194 -  43,828",0,40,4,5,3,4,4,5,4,5,5,5,3,4,4,4,4,4,4,3,3,2
Male,24,High School,Elementary,"Less than  9,520",1,10,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,1,1,2
Female,22,College,High School," 21,194 -  43,828",0,40,5,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5
Male,24,College,College,"Less than  9,520",1,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Female,22,College,College,"Less than  9,520",0,40,2,3,3,4,3,5,4,4,5,4,4,4,3,5,4,4,4,3,3,2
Female,17,College,College," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,5
Female,20,High School,High School,"Less than  9,520",0,40,4,4,3,4,4,4,3,3,3,3,4,3,3,4,4,3,3,2,4,3
Male,20,High School,High School," 219,140 and up",0,40,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5
Female,21,High School,High School," 9,520 to  21,194",0,40,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4
Female,21,College,College," 9,520 to  21,194",0,40,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,4,4,4,4,4
Female,22,High School,High School," 9,520 to  21,194",0,40,5,4,3,4,4,5,4,5,5,4,4,4,3,5,4,5,5,3,4,3
Female,22,High School,High School," 9,520 to  21,194",0,40,3,5,5,5,4,4,4,5,3,5,4,4,4,3,4,4,5,5,5,4
Female,22,High School,High School,"Less than  9,520",0,40,3,4,4,4,3,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3
Male,18,High School,High School," 9,520 to  21,194",1,28,5,5,5,5,5,2,4,4,3,4,1,1,1,1,1,2,1,1,1,1
Male,21,High School,High School,"Less than  9,520",1,20,5,5,5,5,5,3,4,4,3,4,1,1,1,1,1,1,1,2,1,2
Female,22,High School,College," 21,194 -  43,828",0,40,4,5,5,5,5,3,3,2,3,4,2,4,4,4,3,4,4,2,3,4
Female,21,Elementary,Elementary," 9,520 to  21,194",0,40,4,5,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,3,5,3
Male,23,Elementary,Elementary,"Less than  9,520",0,40,4,4,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,3,3,3
Male,20,Elementary,Elementary,"Less than  9,520",0,40,4,4,5,5,5,5,4,4,4,3,5,5,5,5,4,4,4,3,4,3
Female,22,High School,High School,"Less than  9,520",0,40,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Female,22,High School,High School," 9,520 to  21,194",0,40,4,4,2,5,4,4,5,5,5,5,2,4,3,4,3,3,3,2,3,3
Female,21,College,College," 21,194 -  43,828",0,40,3,3,4,5,3,5,4,5,4,5,3,3,3,2,1,4,4,4,5,5
Male,22,College,High School," 9,520 to  21,194",0,40,5,4,4,5,3,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4
Male,23,Masters,High School," 9,520 to  21,194",0,40,4,4,4,4,3,4,4,3,4,2,4,4,4,4,4,4,4,3,3,3
Male,23,College,College," 9,520 to  21,194",0,40,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4
Female,21,Elementary,Elementary,"Less than  9,520",0,40,3,5,3,4,4,4,3,3,5,3,4,5,5,5,5,3,4,3,5,5
Male,21,College,College," 21,194 -  43,828",0,40,3,4,4,4,3,4,3,3,4,4,2,4,4,4,4,4,4,3,4,3
Male,20,College,College,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3
Female,20,Elementary,High School," 9,520 to  21,194",0,40,4,5,3,4,4,5,4,4,5,4,4,4,3,4,4,4,4,3,3,4
Female,21,Elementary,High School," 43,828 -  76,669",0,40,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4
Female,21,Elementary,High School," 21,194 -  43,828",1,23,3,3,2,2,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,4
Female,24,High School,High School," 9,520 to  21,194",1,25,4,4,4,4,4,5,4,4,4,5,3,3,3,3,3,3,3,3,2,2
Female,22,College,High School," 43,828 -  76,669",0,40,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3
Female,19,College,High School," 9,520 to  21,194",0,40,4,4,5,5,4,5,5,4,5,4,4,4,2,5,5,3,5,3,4,2
Female,22,College,High School," 21,194 -  43,828",1,33,5,4,4,5,3,4,3,5,5,3,2,3,3,3,3,4,4,3,3,4
Female,21,College,High School," 9,520 to  21,194",0,40,3,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,2,4,4
Female,22,High School,College," 21,194 -  43,828",0,40,4,5,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3,2,4,3
Female,21,Elementary,High School,"Less than  9,520",0,40,3,4,4,4,3,5,5,5,5,4,4,4,4,5,5,3,4,3,4,3
Male,24,High School,College,"Less than  9,520",1,34,2,2,1,1,2,3,3,3,3,4,1,1,2,3,3,1,1,1,1,1
